"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","WCPM"
"5kid","KT Rolster Challengers","ADC",3,"0%","67%",5,7,9,2,"58.3%","20.8%","16.3%","33%",163,323,29,10.9,"39.0%",399,"27.2%",,284,"30.1%",,0.4,0.5
"Asper","T1 Challengers","Support",6,"100%","33%",3,21,85,4.2,"69.8%","2.4%","29.2%","17%",-308,-91,-15.2,1,"2.1%",172,"7.5%",,120,"9.2%",,1.58,0.26
"Baut","Hanwha Life Esports Challengers","Support",12,"50%","58%",16,30,96,3.7,"75.2%","10.7%","20.4%","42%",5,-70,0.8,1.2,"2.0%",145,"7.8%",,109,"9.5%",,1.26,0.32
"Berserker","T1 Challengers","ADC",6,"100%","67%",43,11,44,7.9,"69.0%","34.1%","15.3%","17%",141,45,13,9.6,"32.2%",725,"30.4%",,369,"27.9%",,0.63,0.39
"CaD","Hanwha Life Esports Challengers","Jungle",12,"50%","17%",23,40,84,2.7,"71.8%","15.4%","27.2%","58%",-70,-24,2.4,6.4,"15.6%",239,"12.9%",,209,"18.2%",,0.25,0.51
"Castle","KT Rolster Challengers","Top",3,"0%","100%",1,9,8,1,"37.5%","4.2%","20.9%","0%",-184,-42,0.3,7.5,"19.9%",242,"17.4%",,188,"19.6%",,0.53,0.12
"Cheoni","Hanwha Life Esports Challengers","ADC",12,"50%","25%",52,30,53,3.5,"70.5%","34.9%","20.4%","42%",76,-69,6.8,9.9,"32.0%",515,"28.4%",,305,"26.5%",,0.43,0.29
"Clear","DRX Challengers","Top",6,"50%","33%",9,16,35,2.8,"57.9%","11.8%","16.7%","17%",-126,-62,-4.8,6.9,"17.9%",345,"17.9%",,212,"18.5%",,0.38,0.17
"Eign","DRX Challengers","Middle",6,"50%","83%",14,22,35,2.2,"64.5%","18.4%","22.9%","0%",-463,-526,-6.3,7.6,"22.8%",437,"22.7%",,235,"20.2%",,0.35,0.15
"Envyy","Gen.G Challengers","ADC",5,"40%","100%",19,16,23,2.6,"79.2%","35.8%","27.1%","20%",338,249,2,9.3,"33.8%",500,"32.8%",,301,"28.4%",,0.4,0.23
"Harp","KT Rolster Challengers","Support",1,"0%","100%",1,6,5,1,"66.7%","11.1%","30.0%","0%",-732,-1092,-68,0.8,"1.5%",115,"8.1%",,75,"7.7%",,1.85,0.24
"Howling","Liiv SANDBOX Challengers","Top",3,"33%","0%",7,6,14,3.5,"65.6%","21.9%","16.2%","0%",-244,-192,-9.3,7.5,"23.5%",298,"17.9%",,235,"23.0%",,0.36,0.13
"Jun","DRX Challengers","Support",6,"50%","50%",3,19,51,2.8,"71.1%","3.9%","19.8%","17%",379,385,21.7,2.7,"9.1%",210,"10.6%",,136,"12.5%",,1.17,0.34
"Kabbie","Liiv SANDBOX Challengers","Support",4,"25%","25%",5,11,23,2.5,"70.0%","12.5%","21.2%","0%",-226,-14,6,1.8,"5.1%",177,"11.0%",,116,"11.4%",,1.32,0.26
"Kael","Gen.G Challengers","Support",5,"40%","60%",9,12,34,3.6,"81.1%","17.0%","20.3%","20%",229,157,-1.4,1,"1.9%",151,"9.8%",,114,"10.7%",,1.52,0.29
"KingKong","Liiv SANDBOX Challengers","ADC",4,"25%","50%",6,11,11,1.5,"42.5%","15.0%","21.2%","0%",-616,-192,-21.3,8.3,"28.6%",353,"21.4%",,240,"21.7%",,0.81,0.36
"Lonely","Gen.G Challengers","Top",5,"40%","60%",9,8,20,3.6,"54.7%","17.0%","13.6%","20%",-55,-82,-0.4,8.2,"26.9%",370,"24.2%",,237,"22.1%",,0.33,0.17
"Mask","Hanwha Life Esports Challengers","Middle",12,"50%","50%",27,23,72,4.3,"66.4%","18.1%","15.6%","25%",174,288,7,9.7,"27.1%",495,"28.3%",,281,"24.5%",,0.39,0.32
"Mireu","T1 Challengers","Middle",6,"100%","67%",25,20,71,4.8,"76.2%","19.8%","27.8%","17%",70,-127,-5.3,7.9,"23.7%",606,"24.8%",,276,"20.8%",,0.55,0.17
"Mowgli","T1 Challengers","Jungle",6,"100%","33%",30,10,69,9.9,"78.6%","23.8%","13.9%","17%",385,290,3,6.5,"18.1%",404,"16.8%",,263,"20.4%",,0.39,0.35
"Ophelia","Gen.G Challengers","Middle",5,"40%","20%",5,11,29,3.1,"64.2%","9.4%","18.6%","20%",-249,-200,-5.6,8.2,"22.4%",234,"15.1%",,221,"20.8%",,0.35,0.13
"PangSu","KT Rolster Challengers","Jungle",3,"0%","33%",10,7,10,2.9,"83.3%","41.7%","16.3%","67%",465,-276,-14,5.4,"14.5%",212,"14.1%",,175,"18.8%",,0.58,0.56
"Peach","DRX Challengers","Jungle",6,"50%","67%",26,22,26,2.4,"68.4%","34.2%","22.9%","33%",-341,-113,3,7.7,"23.5%",424,"22.3%",,259,"22.5%",,0.4,0.48
"Photon","Liiv SANDBOX Challengers","Top",1,"0%","0%",1,3,3,1.3,"50.0%","12.5%","20.0%","0%",-206,0,-15,7,"17.9%",350,"24.6%",,176,"17.7%",,0.37,0.18
"Rebel","KT Rolster Challengers","Support",2,"0%","50%",1,5,12,2.6,"86.7%","6.7%","21.7%","50%",3,-280,1,1,"2.1%",90,"6.2%",,73,"7.9%",,1.53,0.21
"Riss","Hanwha Life Esports Challengers","Top",12,"50%","58%",31,24,42,3,"49.0%","20.8%","16.3%","0%",32,28,0.5,8.1,"23.3%",425,"22.6%",,245,"21.3%",,0.36,0.08
"Roach","T1 Challengers","Top",6,"100%","50%",25,10,42,6.7,"53.2%","19.8%","13.9%","17%",357,191,11.2,8,"23.9%",513,"20.5%",,280,"21.7%",,0.44,0.2
"Seize","Liiv SANDBOX Challengers","Jungle",4,"25%","100%",5,11,22,2.5,"67.5%","12.5%","21.2%","0%",-76,177,0.8,6.3,"17.1%",317,"20.2%",,195,"19.2%",,0.38,0.46
"Taeyoon","DRX Challengers","ADC",6,"50%","33%",24,17,31,3.2,"72.4%","31.6%","17.7%","17%",-244,-147,-28.7,7.8,"26.7%",519,"26.5%",,302,"26.2%",,0.96,0.49
"TolanD","Liiv SANDBOX Challengers","Middle",4,"25%","50%",16,10,15,3.1,"77.5%","40.0%","19.2%","25%",215,-49,-1.3,9.2,"27.2%",474,"27.9%",,290,"26.1%",,0.46,0.19
"VicLa","KT Rolster Challengers","Middle",3,"0%","0%",6,9,8,1.6,"58.3%","25.0%","20.9%","0%",220,555,6.3,8.2,"24.7%",490,"34.5%",,221,"23.7%",,0.47,0.16
"YoungJae","Gen.G Challengers","Jungle",5,"40%","100%",11,12,33,3.7,"83.0%","20.8%","20.3%","40%",-102,-131,-5.2,5.5,"14.9%",292,"18.2%",,193,"18.0%",,0.41,0.35
