"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","WCPM"
"Valkyrie","Kwangdong Freecs Challengers","ADC",10,"70%","30%",38,14,83,8.6,"70.8%","22.2%","14.3%","10%",-2,-33,9.3,8.9,"30.1%",633,"30.0%",,274,"23.7%",,0.53,0.22
"BuLLDoG","Kwangdong Freecs Challengers","Middle",7,"71%","57%",25,11,63,8,"74.6%","21.2%","15.7%","43%",172,10,2.3,7.7,"23.3%",534,"22.3%","36.2%",266,"23.1%",0,0.66,0.28
"Bull","Kwangdong Freecs Challengers","ADC",8,"63%","38%",22,10,53,7.5,"68.8%","20.2%","11.8%","25%",-225,-65,-2.4,8.7,"30.1%",432,"24.4%","30.9%",288,"24.3%",0,0.75,0.43
"YoungJae","Gen.G Challengers","Jungle",11,"73%","27%",37,20,76,5.7,"70.6%","23.1%","18.7%","9%",-123,26,-1.4,6.2,"17.0%",335,"18.3%",,227,"19.0%",,0.7,0.6
"Ice","Liiv SANDBOX Challengers","ADC",17,"53%","59%",73,33,111,5.6,"68.4%","27.1%","13.4%","6%",-210,-39,-6.7,9,"30.0%",541,"26.2%","23.8%",291,"25.4%",0,0.58,0.3
"Minit","Kwangdong Freecs Challengers","Support",18,"67%","44%",16,40,191,5.2,"73.9%","5.7%","21.9%","28%",-61,-86,-7.2,1.4,"3.3%",129,"6.5%","7.1%",111,"9.5%",0,1.57,0.42
"Envyy","Gen.G Challengers","ADC",18,"78%","56%",79,34,94,5.1,"64.6%","29.5%","18.3%","22%",111,-47,3.2,10.2,"34.2%",552,"30.4%","34.2%",329,"27.5%",0,0.39,0.37
"BAO","DRX Challengers","ADC",11,"45%","82%",37,16,44,5.1,"62.8%","28.7%","9.7%","9%",187,-9,6.8,10,"31.3%",532,"30.3%","39.1%",300,"26.6%",0,0.46,0.36
"Keine","Kwangdong Freecs Challengers","Middle",11,"64%","45%",46,23,68,5,"70.4%","28.4%","20.4%","36%",238,134,2.5,8.9,"26.8%",432,"25.1%","31.0%",288,"24.5%",0,0.46,0.27
"Karis","Gen.G Challengers","Middle",7,"86%","43%",15,14,55,5,"64.8%","13.9%","17.7%","14%",98,134,-1.7,8.4,"24.6%",417,"21.4%","22.7%",265,"21.9%",0,0.44,0.3
"Citrus","Kwangdong Freecs Challengers","Jungle",18,"67%","28%",53,41,143,4.8,"70.0%","18.9%","22.4%","44%",-38,-42,-3.2,5.3,"15.3%",305,"14.8%","11.8%",201,"17.5%",0,0.53,0.42
"Lonely","Gen.G Challengers","Top",18,"78%","61%",55,34,107,4.8,"60.4%","20.5%","18.3%","17%",142,47,2.6,8.2,"23.5%",381,"21.2%","17.6%",267,"22.4%",0,0.34,0.33
"HyBriD","KT Rolster Challengers","ADC",15,"53%","53%",64,29,75,4.8,"70.6%","32.5%","16.4%","27%",47,-16,-3,10,"35.6%",588,"30.8%","26.0%",312,"29.0%",0,0.45,0.35
"IlllIma","Kwangdong Freecs Challengers","Top",18,"67%","72%",80,44,121,4.6,"71.8%","28.6%","24.0%","22%",277,71,6.1,8.3,"25.8%",532,"27.2%","16.6%",293,"25.1%",0,0.3,0.19
"Rahel","DWG KIA Challengers","ADC",8,"75%","75%",30,17,46,4.5,"65.0%","25.6%","18.5%","0%",-124,-24,3.4,9.6,"32.9%",460,"25.1%",,297,"25.7%",,0.53,0.3
"Kael","Gen.G Challengers","Support",18,"78%","50%",10,41,168,4.3,"66.4%","3.7%","22.0%","22%",-89,31,-1.9,1,"2.0%",156,"8.4%","5.9%",103,"8.6%",0,1.69,0.34
"Jool","DWG KIA Challengers","Middle",18,"39%","39%",42,34,98,4.1,"68.0%","20.4%","14.8%","11%",-71,18,-3.4,8.2,"24.0%",401,"23.8%","36.7%",240,"22.4%",0,0.57,0.22
"Seize","Liiv SANDBOX Challengers","Jungle",18,"50%","78%",62,52,153,4.1,"77.3%","22.3%","20.4%","50%",55,5,-1.3,5.5,"15.3%",348,"16.6%","16.0%",211,"18.5%",0,0.52,0.38
"Flawless","Gen.G Challengers","Jungle",7,"86%","57%",32,18,42,4.1,"68.5%","29.6%","22.8%","43%",405,180,0.3,6.1,"16.0%",366,"19.3%","19.6%",246,"20.5%",0,0.62,0.41
"Dice","Gen.G Challengers","Middle",8,"75%","25%",31,20,49,4,"62.0%","24.0%","27.0%","0%",-271,-177,-8,7.6,"22.1%",431,"20.8%",,248,"20.9%",,0.38,0.29
"Taeyoon","DRX Challengers","ADC",8,"50%","75%",28,22,59,4,"68.5%","22.0%","16.8%","25%",273,211,-1.8,9.3,"30.3%",591,"28.4%",,297,"25.1%",,0.88,0.54
"KingKong","Liiv SANDBOX Challengers","ADC",1,"0%","0%",1,0,3,4,"44.4%","11.1%","0.0%","0%",-465,276,-4,9.2,"30.4%",792,"38.4%",,260,"23.0%",,0.42,0.26
"Berserker","T1 Challengers","ADC",18,"28%","33%",56,33,73,3.9,"65.8%","28.6%","12.4%","22%",187,206,10.1,9.9,"34.8%",542,"28.9%","18.2%",290,"27.9%",0,0.43,0.37
"Prove","Liiv SANDBOX Challengers","Support",5,"40%","0%",5,15,53,3.9,"69.0%","6.0%","21.1%","20%",196,24,14.6,2.2,"5.3%",135,"5.7%","6.4%",113,"10.0%",0,1.44,0.57
"Mask","Hanwha Life Esports Challengers","Middle",19,"42%","58%",43,41,111,3.8,"68.8%","19.2%","15.9%","21%",55,147,3.2,8.9,"26.5%",496,"27.2%","38.9%",264,"24.5%",0,0.46,0.41
"vital","Nongshim RedForce Challengers","ADC",18,"56%","33%",73,40,79,3.8,"74.5%","35.8%","17.9%","11%",81,138,4.8,9.9,"33.9%",513,"28.9%","24.8%",314,"27.8%",0,0.7,0.48
"Bay","Nongshim RedForce Challengers","Middle",8,"63%","50%",17,20,58,3.8,"72.8%","16.5%","23.3%","38%",26,262,-0.4,8.4,"24.0%",383,"23.7%",,250,"22.1%",,0.5,0.19
"5kid","KT Rolster Challengers","ADC",3,"33%","33%",11,5,8,3.8,"76.0%","44.0%","16.1%","67%",-61,-281,-1.7,10.9,"36.3%",618,"37.8%",,321,"29.5%",,0.6,0.64
"Ophelia","Gen.G Challengers","Middle",3,"67%","67%",9,5,10,3.8,"61.3%","29.0%","15.2%","0%",93,150,6.7,9.5,"26.1%",277,"22.8%",,296,"24.9%",,0.46,0.19
"Roamer","Fredit BRION Challengers","Middle",20,"45%","65%",63,50,124,3.7,"74.5%","25.1%","17.8%","20%",-12,-162,-2.7,7.9,"24.2%",461,"24.9%","16.7%",247,"23.0%",0,0.38,0.21
"Photon","Liiv SANDBOX Challengers","Top",18,"50%","44%",76,51,111,3.7,"67.3%","27.3%","20.0%","28%",102,109,1.6,8,"24.8%",522,"24.8%","22.9%",276,"23.9%",0,0.42,0.24
"Jun","DRX Challengers","Support",8,"50%","75%",3,26,92,3.7,"74.8%","2.4%","19.8%","38%",159,173,10.6,1.9,"4.8%",137,"6.8%",,118,"10.3%",,1.59,0.4
"Bini","Fredit BRION Challengers","ADC",20,"45%","50%",52,46,115,3.6,"66.5%","20.7%","16.4%","30%",-283,-180,-16.8,7.9,"28.1%",454,"24.5%","26.9%",248,"23.4%",0,0.61,0.27
"Cheoni","Hanwha Life Esports Challengers","ADC",19,"42%","37%",72,42,81,3.6,"68.3%","32.1%","16.3%","16%",82,-28,0.1,9.5,"31.8%",589,"31.9%","27.2%",299,"27.4%",0,0.55,0.3
"VicLa","KT Rolster Challengers","Middle",18,"50%","50%",47,42,106,3.6,"68.9%","21.2%","20.2%","28%",-117,-36,-1,7.6,"22.4%",449,"23.7%","28.8%",235,"21.9%",0,0.58,0.26
"Sylvie","Nongshim RedForce Challengers","Jungle",4,"75%","0%",9,7,16,3.6,"59.5%","21.4%","15.2%","0%",-89,-243,-5.5,5.7,"16.6%",231,"14.4%","11.7%",195,"18.2%",0,0.42,0.36
"PangSu","KT Rolster Challengers","Jungle",18,"50%","39%",38,43,114,3.5,"68.5%","17.1%","20.7%","39%",-257,-340,-8.1,5.2,"14.7%",290,"15.8%","18.8%",184,"17.3%",0,0.39,0.55
"Rebel","KT Rolster Challengers","Support",18,"50%","39%",15,46,148,3.5,"73.4%","6.8%","22.1%","39%",-3,-22,-0.9,1.1,"2.9%",117,"6.4%","3.8%",100,"9.1%",0,1.69,0.44
"Chasy","DWG KIA Challengers","Top",18,"39%","56%",62,43,83,3.4,"70.4%","30.1%","18.8%","22%",225,-27,8.1,8.4,"26.9%",518,"29.2%","12.3%",276,"25.5%",0,0.38,0.24
"Lucid","DWG KIA Challengers","Jungle",18,"39%","61%",44,44,107,3.4,"73.3%","21.4%","19.2%","39%",76,-47,-0.2,5.5,"14.7%",290,"17.4%","18.0%",198,"18.5%",0,0.52,0.3
"TolanD","Liiv SANDBOX Challengers","Middle",18,"50%","39%",55,56,137,3.4,"69.1%","19.8%","22.0%","28%",88,64,3.7,8.7,"26.3%",544,"25.7%","30.9%",274,"23.7%",0,0.52,0.27
"Juhan","Nongshim RedForce Challengers","Jungle",14,"50%","64%",34,36,88,3.4,"75.3%","21.0%","20.2%","29%",136,-63,1.9,6,"15.9%",344,"17.9%","18.5%",212,"18.9%",0,0.54,0.42
"Willer","Hanwha Life Esports Challengers","Jungle",10,"40%","50%",29,25,55,3.4,"71.8%","24.8%","19.4%","10%",-133,127,6.7,6,"15.9%",292,"17.3%",,203,"18.7%",,0.48,0.46
"DnDn","Nongshim RedForce Challengers","Top",18,"56%","44%",42,38,85,3.3,"62.3%","20.6%","17.0%","33%",227,312,1.9,7.8,"22.7%",371,"20.4%","24.1%",243,"21.6%",0,0.4,0.23
"Jin0","Fredit BRION Challengers","Jungle",20,"45%","45%",67,61,127,3.2,"77.3%","26.7%","21.7%","40%",-2,-1,-1.4,5.5,"16.2%",347,"19.4%","16.0%",208,"19.8%",1,0.42,0.46
"Baut","Hanwha Life Esports Challengers","Support",19,"42%","47%",19,53,146,3.1,"73.7%","8.5%","20.5%","21%",102,213,4.6,1.6,"3.9%",131,"7.0%","2.1%",104,"9.6%",0,1.59,0.39
"Castle","KT Rolster Challengers","Top",18,"50%","50%",47,43,87,3.1,"60.4%","21.2%","20.7%","17%",-297,-69,-6.8,7.7,"24.2%",409,"22.1%","22.6%",243,"22.6%",0,0.55,0.26
"SOLKA","DRX Challengers","Middle",6,"50%","50%",14,15,33,3.1,"67.1%","20.0%","17.2%","0%",35,-5,2,9.4,"27.6%",421,"24.3%","26.2%",275,"24.5%",0,0.49,0.29
"Mowgli","T1 Challengers","Jungle",18,"28%","61%",34,49,108,2.9,"72.4%","17.3%","18.4%","22%",-104,127,4.2,5.6,"15.3%",291,"15.1%","9.3%",186,"18.0%",0,0.41,0.38
"TaNa","Fredit BRION Challengers","Top",20,"45%","40%",58,59,99,2.7,"62.5%","23.1%","21.0%","30%",-123,-152,-1.2,8,"27.0%",403,"22.6%","27.5%",261,"24.4%",0,0.43,0.21
"Pleata","DRX Challengers","Support",11,"45%","36%",2,32,84,2.7,"66.7%","1.6%","19.4%","9%",26,157,-1,1.2,"3.0%",141,"8.0%","5.4%",96,"8.2%",0,1.72,0.5
"FIESTA","Nongshim RedForce Challengers","Middle",10,"50%","60%",15,24,50,2.7,"64.4%","14.9%","17.4%","10%",-10,3,4.6,8.3,"23.9%",513,"27.8%","29.0%",243,"22.5%",0,0.61,0.33
"Asper","T1 Challengers","Support",18,"28%","67%",14,57,132,2.6,"74.5%","7.1%","21.3%","28%",-33,-27,-3.1,1.1,"2.9%",139,"7.3%","5.1%",96,"9.2%",0,1.53,0.39
"Eign","DRX Challengers","Middle",13,"46%","69%",38,42,72,2.6,"59.1%","20.4%","20.1%","8%",148,-46,1.9,8.1,"23.9%",422,"21.9%",,256,"22.2%",,0.45,0.24
"Kabbie","Liiv SANDBOX Challengers","Support",13,"54%","38%",6,48,116,2.5,"62.9%","3.1%","26.1%","15%",-56,-179,-0.6,1.1,"3.0%",121,"6.1%",,95,"8.2%",,2.1,0.4
"JeongHoon","Fredit BRION Challengers","Support",20,"45%","55%",11,65,143,2.4,"61.4%","4.4%","23.1%","25%",35,-90,7,1.6,"4.5%",154,"8.5%","12.8%",101,"9.4%",0,1.78,0.41
"Clear","DRX Challengers","Top",19,"47%","26%",72,65,87,2.4,"62.1%","28.1%","22.0%","26%",19,18,-1.9,7.7,"21.9%",418,"21.4%","15.7%",254,"21.7%",0,0.33,0.24
"Yusin","Nongshim RedForce Challengers","Support",18,"56%","56%",14,59,128,2.4,"69.6%","6.9%","26.3%","11%",-10,35,-3.9,1.4,"3.3%",132,"7.6%","5.8%",107,"9.5%",0,1.57,0.4
"Junmin","DWG KIA Challengers","ADC",9,"11%","78%",16,19,29,2.4,"55.6%","19.8%","16.5%","0%",-75,3,1.1,9.4,"31.2%",322,"20.2%","25.8%",259,"25.3%",0,0.7,0.39
"Peach","DRX Challengers","Jungle",19,"47%","53%",62,78,119,2.3,"70.7%","24.2%","26.4%","26%",148,306,7.9,6.7,"18.3%",348,"18.8%","13.6%",235,"20.3%",0,0.35,0.41
"Mireu","T1 Challengers","Middle",18,"28%","39%",48,64,95,2.2,"73.0%","24.5%","24.0%","6%",-216,-188,-3.5,7.9,"22.9%",467,"25.2%","45.2%",237,"22.9%",0,0.39,0.17
"Roach","T1 Challengers","Top",18,"28%","67%",44,64,93,2.1,"69.9%","22.4%","24.0%","11%",-276,-161,-6.4,7.6,"24.1%",458,"23.4%","22.2%",231,"22.1%",0,0.4,0.28
"Bible","DWG KIA Challengers","Support",13,"54%","62%",9,52,101,2.1,"64.3%","5.3%","31.0%","0%",-75,-167,-4.3,1.2,"2.9%",141,"7.8%",,99,"8.6%",,1.59,0.42
"Riss","Hanwha Life Esports Challengers","Top",19,"42%","42%",39,65,84,1.9,"54.9%","17.4%","25.2%","11%",-267,-124,-3.6,7.6,"23.3%",342,"18.9%","18.4%",229,"20.8%",0,0.35,0.2
"CaD","Hanwha Life Esports Challengers","Jungle",9,"44%","44%",22,32,40,1.9,"57.9%","20.6%","24.8%","44%",38,-160,-3,5.1,"12.8%",246,"12.5%","13.3%",176,"16.4%",0,0.39,0.28
"Muru","DWG KIA Challengers","Support",5,"0%","60%",2,14,22,1.7,"68.6%","5.7%","23.0%","20%",13,53,-0.6,1,"2.2%",90,"5.9%","7.2%",71,"7.5%",0,1.52,0.32
"Cow","DWG KIA Challengers","ADC",1,"0%","0%",1,6,2,0.5,"37.5%","12.5%","27.3%","0%",19,-318,5,7.7,"26.5%",454,"20.1%",,180,"21.2%",,0.52,0.22
