"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","WCPM"
"BAO","DRX Challengers","ADC",5,"40%","60%",23,9,24,5.2,"67.1%","32.9%","14.1%","40%",289,-43,3,9.7,"33.3%",524,"30.6%","32.4%",307,"26.4%",0,0.43,0.33
"Bay","Nongshim RedForce Challengers","Middle",9,"56%","22%",21,24,57,3.3,"70.9%","19.1%","17.0%","22%",-329,-314,-8.8,6.9,"19.6%",338,"20.2%","20.3%",212,"20.1%",0,0.45,0.15
"Bull","Kwangdong Freecs Challengers","ADC",3,"67%","0%",17,8,15,4,"62.7%","33.3%","17.8%","0%",183,319,4.3,8.7,"31.9%",504,"25.2%","28.3%",315,"28.0%",0,0.45,0.43
"Castle","KT Rolster Challengers","Top",9,"44%","44%",24,18,41,3.6,"56.5%","20.9%","14.5%","11%",-260,-59,-5,7.5,"23.2%",303,"18.5%","17.3%",242,"22.5%",0,0.45,0.19
"Citrus","Kwangdong Freecs Challengers","Jungle",8,"50%","75%",22,26,50,2.8,"71.3%","21.8%","21.7%","25%",-106,-307,-6.6,5,"15.0%",337,"17.5%","17.6%",187,"16.8%",1,0.62,0.43
"Clear","DRX Challengers","Top",5,"40%","80%",9,11,28,3.4,"52.9%","12.9%","17.2%","20%",229,117,2.2,7.7,"23.6%",327,"19.0%","20.1%",249,"21.5%",0,0.3,0.19
"DnDn","Nongshim RedForce Challengers","Top",10,"50%","60%",27,29,41,2.3,"59.6%","23.7%","18.1%","10%",-104,-18,-0.6,7.8,"24.5%",457,"27.3%","25.0%",246,"23.2%",0,0.4,0.18
"Envyy","Gen.G Challengers","ADC",9,"67%","44%",38,17,69,6.3,"66.9%","23.8%","18.7%","44%",91,-107,-3.1,9.2,"32.4%",503,"26.4%","26.4%",316,"26.3%",0,0.41,0.32
"FIESTA","Nongshim RedForce Challengers","Middle",1,"0%","100%",0,2,4,2,"100.0%","0.0%","10.5%","0%",-619,-561,-19,9.3,"30.3%",400,"25.9%","24.1%",225,"24.5%",0,0.82,0.44
"Flawless","Gen.G Challengers","Jungle",9,"67%","33%",33,19,85,6.2,"73.8%","20.6%","20.9%","22%",28,58,-4,4.7,"13.4%",276,"14.2%","14.5%",198,"16.9%",1,0.46,0.47
"HyBriD","KT Rolster Challengers","ADC",9,"44%","67%",33,21,54,4.1,"75.7%","28.7%","16.9%","67%",224,185,2.8,9.9,"35.2%",606,"37.8%","41.7%",307,"28.9%",1,0.53,0.3
"Ice","Liiv SANDBOX Challengers","ADC",5,"40%","40%",22,7,18,5.7,"62.5%","34.4%","10.6%","0%",-147,18,1.4,9.5,"31.3%",453,"24.6%","26.4%",295,"27.0%",0,0.58,0.36
"IlllIma","Kwangdong Freecs Challengers","Top",8,"50%","63%",21,31,31,1.7,"51.5%","20.8%","25.8%","13%",154,-19,-0.9,7.5,"24.7%",388,"21.0%","19.4%",244,"22.2%",0,0.27,0.19
"Juhan","Nongshim RedForce Challengers","Jungle",9,"56%","56%",21,37,58,2.1,"71.8%","19.1%","26.2%","22%",172,154,6.7,5.4,"15.3%",271,"16.5%","16.2%",195,"18.2%",2,0.58,0.41
"Kael","Gen.G Challengers","Support",9,"67%","56%",15,13,95,8.5,"68.8%","9.4%","14.3%","44%",184,119,-0.4,1,"2.3%",150,"7.7%","6.6%",116,"9.8%",0,1.63,0.39
"Karis","Gen.G Challengers","Middle",9,"67%","89%",46,17,62,6.4,"67.5%","28.8%","18.7%","11%",184,234,4.4,8.7,"26.6%",560,"29.4%","30.0%",298,"25.2%",0,0.47,0.37
"Keine","Kwangdong Freecs Challengers","Middle",8,"50%","38%",28,21,34,3,"61.4%","27.7%","17.5%","25%",226,89,2.8,9.1,"29.0%",542,"28.9%","28.5%",284,"25.5%",0,0.56,0.35
"Lonely","Gen.G Challengers","Top",9,"67%","11%",28,25,69,3.9,"60.6%","17.5%","27.5%","0%",30,-4,2.6,7.8,"25.3%",440,"22.4%","22.5%",255,"21.7%",0,0.33,0.27
"Minit","Kwangdong Freecs Challengers","Support",8,"50%","38%",4,26,64,2.6,"67.3%","4.0%","21.7%","25%",-34,-117,2,0.9,"1.6%",101,"5.7%","5.1%",95,"8.7%",0,1.6,0.29
"PangSu","KT Rolster Challengers","Jungle",9,"44%","33%",26,23,66,4,"80.0%","22.6%","18.5%","67%",-14,33,2.9,5.1,"14.7%",250,"15.2%","15.6%",192,"18.1%",0,0.29,0.65
"Peach","DRX Challengers","Jungle",5,"40%","40%",15,18,29,2.4,"62.9%","21.4%","28.1%","20%",-102,23,1.6,6.3,"18.6%",279,"16.4%","17.1%",220,"18.9%",2,0.37,0.56
"Photon","Liiv SANDBOX Challengers","Top",5,"40%","60%",20,13,23,3.3,"67.2%","31.3%","19.7%","0%",148,64,4.8,8.4,"25.4%",487,"26.6%","25.2%",270,"24.9%",0,0.34,0.31
"Pleata","DRX Challengers","Support",5,"40%","40%",5,13,55,4.6,"85.7%","7.1%","20.3%","40%",-98,151,-3.8,0.9,"2.5%",189,"10.5%","9.7%",101,"8.8%",0,1.64,0.31
"Prove","Liiv SANDBOX Challengers","Support",5,"40%","40%",7,12,42,4.1,"76.6%","10.9%","18.2%","0%",-95,181,0.4,1.3,"3.2%",129,"6.8%","6.9%",99,"9.1%",0,1.91,0.52
"Rebel","KT Rolster Challengers","Support",9,"44%","56%",8,30,81,3,"77.4%","7.0%","24.2%","67%",98,-78,-1.1,1.1,"2.6%",108,"6.5%","5.8%",93,"8.6%",0,1.68,0.41
"Seize","Liiv SANDBOX Challengers","Jungle",5,"40%","80%",6,16,46,3.3,"81.3%","9.4%","24.2%","20%",-33,79,-0.6,5.5,"15.1%",269,"14.7%","15.6%",187,"17.3%",0,0.42,0.39
"SOLKA","DRX Challengers","Middle",5,"40%","60%",18,13,33,3.9,"72.9%","25.7%","20.3%","60%",388,253,7.4,7.9,"22.1%",410,"23.5%","20.7%",270,"24.4%",0,0.52,0.25
"Sylvie","Nongshim RedForce Challengers","Jungle",1,"0%","0%",1,5,2,0.6,"75.0%","25.0%","26.3%","0%",-154,-251,-2,5.1,"15.1%",129,"8.4%","10.2%",151,"16.5%",0,0.17,0.24
"TolanD","Liiv SANDBOX Challengers","Middle",5,"40%","40%",9,18,31,2.2,"62.5%","14.1%","27.3%","20%",139,-312,-2,8.4,"25.0%",516,"27.4%","25.8%",235,"21.8%",0,0.58,0.22
"Valkyrie","Kwangdong Freecs Challengers","ADC",5,"40%","60%",9,8,22,3.9,"62.0%","18.0%","10.7%","40%",20,-144,0.4,8.9,"28.4%",461,"27.9%","30.0%",273,"26.0%",0,0.37,0.18
"VicLa","KT Rolster Challengers","Middle",9,"44%","44%",24,32,40,2,"55.7%","20.9%","25.8%","0%",-280,97,1,8,"24.3%",346,"22.1%","19.6%",233,"21.9%",0,0.6,0.17
"vital","Nongshim RedForce Challengers","ADC",10,"50%","50%",39,20,49,4.4,"77.2%","34.2%","12.5%","10%",-420,-81,-3.4,10,"37.3%",519,"30.5%","33.4%",316,"29.6%",0,0.43,0.39
"Yusin","Nongshim RedForce Challengers","Support",10,"50%","60%",5,43,77,1.9,"71.9%","4.4%","26.9%","10%",-130,-110,1.5,1.1,"2.3%",100,"5.8%","5.3%",92,"8.6%",0,1.74,0.31
